COUNTRY,Total,Native Born,Total Foriegn Born,EU Foriegn Born,Non EU Foriegn Born,Unknown,SOV_A3
AUSTRIA,166.3,7.7,155.1,64.9,90.2,3.5,AUT
BELGIUM,146.6,15.5,129.9,55.3,74.6,1.2,BEL
BULGARIA,25.2,11,14.2,1.9,12.3,0,BGR
SWITZERLAND,153.6,19,133.7,82,51.7,0.9,CHE
CYPRUS,15.2,2.9,12.2,5.9,6.3,0,CYP
CZECH,29.6,6.2,23.4,11.6,11.7,0,CZE
GERMANY,1543.8,59.8,1440.4,440.9,999.4,43.7,DEU
DENMARK,78.5,15.4,61.2,24.1,37.1,2,DN1
SPAIN,342.1,30.3,311.8,97.8,214,0,ESP
ESTONIA,15.4,7.5,7.9,3.3,4.5,0,EST
FINLAND,28.7,5.9,21.2,7.3,13.9,1.6,FI1
FRANCE,363.9,89.4,274.4,86.3,1880.1,0,FR1
UK,631.5,73,558.5,258.4,300.1,0,GB1
GREECE,64.4,26.6,37.9,19.1,18.8,0,GRC
CROATIA,11.7,2.5,9.2,2.3,6.9,0,HRV
HUNGARY,58.3,15.2,43.2,15.3,27.9,0,HUN
IRELAND,76.9,19.8,57.1,26,31,0,IRL
ICELAND,5.6,1.4,4.2,3.2,1,0,ISL
ITALY,280.1,25.9,254.1,56.9,197.3,0,ITA
LIECH,0.7,0,0.6,0.3,0.3,0,LIE
LITHUANIA,22.1,16.3,5.8,1.9,3.9,0,LTU
LUX,23.8,1.2,22.2,14.3,7.9,0.5,LUX
LATVIA,9.5,4.1,5.3,1.5,3.8,0,LVA
MALTA,12.8,1.8,11.1,5.3,5.7,0,MLT
NETH,166.9,26.6,140.3,57.5,82.8,0,NL1
NORWAY,60.8,4.6,56.2,25.8,30.4,0,NOR
POLAND,218.1,109.2,105.1,34.8,70.3,3.9,POL
PORTUGAL,29.9,12.7,17.2,7.4,9.8,0,PRT
ROMANIA,132.8,87.1,39.8,13.6,26.2,5.9,ROU
SLOVAKIA,7,0.9,6.1,4.7,1.4,0,SVK
SLOVENIA,15.4,1.9,13.5,2.7,10.8,0,SVN
SWEDEN,134.2,14.6,119.5,29,90.5,0.2,SWE
